Item No.	PART NUMBER	revision	QTY	Description	Material	Finish	Treatment	Colour	Comments	SecondProcess	Third Process	Author	Approved	Asset	SW-Folder Name(Folder Name)	SW-File Name(File Name)	SW-Configuration Name(Configuration Name)	Distributor	mass	DrawnDate	OEM_Internet	OEM_Supplier	OEM_Data_Sheet	Qb_Code	QB_Catergory	Sheet Metal Thickness	Spare_Part	Supplier_Part_Number
1.1.18	    HURRICANE HINGE		1												\\192.168.5.11\cad\SOLIDWORKS PROJECTS\CARAVAN UPGRADE\	HURRICANE HINGE	FIXED HALF											
1.1.19	    steel bracket		14												\\192.168.5.11\cad\SOLIDWORKS PROJECTS\CARAVAN UPGRADE\	steel bracket	small											
1.1.20	    steel bracket		10												\\192.168.5.11\cad\SOLIDWORKS PROJECTS\CARAVAN UPGRADE\	steel bracket	big											
1.1.21	    FRONT BOTTOM TRANS BEAM		3												\\192.168.5.11\cad\SOLIDWORKS PROJECTS\CARAVAN UPGRADE\	FRONT BOTTOM TRANS BEAM	LONG<As Machined>											
1.1.21.1	      		1	PINE - 42x19	Pine												LONG<As Machined>											
1.1.22	    DOOR		2												\\192.168.5.11\cad\SOLIDWORKS PROJECTS\CARAVAN UPGRADE\	DOOR	FRAME											
1.1.23	    window		1												\\192.168.5.11\cad\SOLIDWORKS PROJECTS\CARAVAN UPGRADE\	window	CLOSED											
1.1.24	    solar panel		1												\\192.168.5.11\cad\SOLIDWORKS PROJECTS\CARAVAN UPGRADE\	solar panel	Default											
1.1.25	    roof vent		1												\\192.168.5.11\cad\SOLIDWORKS LIBRARIES\CARAVAN\	roof vent	Default											
1.1.26	    PART NUMBER	A	3	Description	Plain Carbon Steel	Natural	None	N/A							\\192.168.5.11\cad\SOLIDWORKS PROJECTS\CARAVAN UPGRADE\	REAR CABINETS RIB	PART NUMBER											
1.1.27	    LATERAL SELVES		4												\\192.168.5.11\cad\SOLIDWORKS PROJECTS\CARAVAN UPGRADE\	LATERAL SELVES	Default<As Machined>											
1.1.27.1	      		1		Pine												Default<As Machined>											
1.1.28	    SLIDER ASSEMBLY		2	PART NUMBER DESCRIPTION		Raw	None	N/A							\\192.168.5.11\cad\SOLIDWORKS LIBRARIES\1.-STANDARD PARTS\5.-ACC\22.-DRAWER RUNNERS\	SLIDER ASSEMBLY	CLOSED		0.37									
1.1.28.1	      BATTERIES BOX SLIDER	0	1	Part number description	ALUMINIUM	Raw	None	N/A							\\192.168.5.11\cad\SOLIDWORKS LIBRARIES\1.-STANDARD PARTS\5.-ACC\22.-DRAWER RUNNERS\	BATTERIES BOX SLIDER	INNER SLIDER											
1.1.28.1.1	        		1		ALUMINIUM												INNER SLIDER											
1.1.28.2	      BATTERIES BOX SLIDER	0	1	Part number description	ALUMINIUM	Raw	None	N/A							\\192.168.5.11\cad\SOLIDWORKS LIBRARIES\1.-STANDARD PARTS\5.-ACC\22.-DRAWER RUNNERS\	BATTERIES BOX SLIDER	OUT SLIDER											
1.1.28.2.1	        		1	Sheet	ALUMINIUM												OUT SLIDER		0.123							1.2		
1.2	  BED FRAME		1												\\192.168.5.11\cad\SOLIDWORKS PROJECTS\CARAVAN UPGRADE\	BED FRAME	Default											
1.2.1	    PART 1		1												\\192.168.5.11\cad\SOLIDWORKS PROJECTS\CARAVAN UPGRADE\	PART 1	RH											
1.2.1.1	      		1	Sheet	Plain Carbon Steel												RH		9525.95							3		
1.2.2	    MirrorPART 1		1												\\192.168.5.11\cad\SOLIDWORKS PROJECTS\CARAVAN UPGRADE\	MirrorPART 1	RH											
1.2.3	    PART 2		4												\\192.168.5.11\cad\SOLIDWORKS PROJECTS\CARAVAN UPGRADE\	PART 2	RH											
1.2.3.1	      		1	Sheet	Plain Carbon Steel												RH		4799.23							2.5		
1.2.4	    PART 3		1												\\192.168.5.11\cad\SOLIDWORKS PROJECTS\CARAVAN UPGRADE\	PART 3	RH											
1.2.4.1	      		1	Sheet	Plain Carbon Steel												RH		6313.31							2.5		
1.2.5	    PART 5		1												\\192.168.5.11\cad\SOLIDWORKS PROJECTS\CARAVAN UPGRADE\	PART 5	RH											
1.2.5.1	      		1	Sheet	Plain Carbon Steel												RH		6937.17							3		
1.2.6	    MirrorPART 5		1												\\192.168.5.11\cad\SOLIDWORKS PROJECTS\CARAVAN UPGRADE\	MirrorPART 5	RH											
1.2.6.1	      		1	Sheet	Plain Carbon Steel												RH		6937.17							3		
